BoroCD,Location,median_rent,median_income,annual_rent,rent_income_ratio,food_density,park_area_ratio,avg_commute_time
410,Howard Beach,1821.39,89142,21856.68,24.518947297570172,0.8775108123009178,3.5032909462808237,49.5592521794185
104,Chelsea/Clinton,2763.89371,122723,33166.72452,27.025679391801045,3.143380362589073,1.9989265104356562,29.836072383770556
107,Upper West Side,2774.33521,150017,33292.02252,22.19216656778898,2.3517194137664643,16.419491384730193,34.475525993120584
317,East Flatbush,1615.91411,66236,19390.96932,29.275574189262638,2.2170479001327394,0.7000289330603353,52.40886200057936
409,Woodhaven,1744.99477,99326,20939.93724,21.082030123029217,1.7042501256012828,0.5764810471296011,49.91441411816289
413,Queens Village,1798.11887,103300,21577.42644,20.888118528557598,0.44511467338789706,8.61631866185256,48.68218137683092
313,Coney Island,1040.56394,41428,12486.76728,30.14088848122043,1.5861361560523408,19.805743777050505,48.277458054805436
202,Hunts Point,959,33940,11508,33.906894519740725,2.2164993699063427,4.511608161842411,46.34045330655573
205,University Heights,1101.25242,34756,13215.02904,38.022295546092764,5.167421386183011,3.242787446082776,48.6205705068342
305,East New York,1221.52889,49345,14658.34668,29.705839862194754,2.096633063161798,5.967588163184515,50.34226625373493
318,Canarsie,1501.66219,88188,18019.94628,20.43355817117975,0.7688348318973076,20.86143317086506,52.528422218200014
403,Jackson Heights,1663.59103,75083,19963.09236,26.588032390820825,2.5157076075956106,3.992562368632953,47.02823828527962
404,Elmhurst/Corona,1784.05203,70784,21408.62436,30.245005029385176,3.0118828150605554,1.764702097264779,48.116217133606625
105,Midtown Business District,3326,144175,39912,27.683024102653025,3.174235474307694,2.385301964885996,27.34093079051093
407,Flushing,1739.33516,62308,20872.02192,33.498141362264874,0.6610055639442585,10.36838562932765,45.39959798370636
411,Bayside,1993.47168,107607,23921.66016,22.230579943683964,0.24197148478863406,16.069935602599678,45.190771777363956
106,Murray Hill/Stuyvesant,3326,144175,39912,27.683024102653025,2.556155171298233,2.5103001125885815,29.365704429512103
110,Central Harlem,1085,48977,13020,26.583906731731222,3.941266009477739,5.262112315590487,41.298665539849786
302,Fort Greene/Brooklyn Hts,2914.14086,151134,34969.69032,23.13820207233316,1.9662643780231994,6.527363417915179,36.32817389749347
303,Bedford Stuyvesant,1846.80112,75184,22161.61344,29.47650223451798,3.8257418622953723,3.2896095548735556,43.89738527116048
203,Morrisania,997,30846,11964,38.786228360241196,3.772553275322512,14.307006495414168,46.210482153230494
501,St. George,1305,72834,15660,21.500947359749567,0.771408397781223,10.052106984959224,45.06034543739684
109,Manhattanville,1467,54508,17604,32.296176708006165,2.9120426537202833,17.651896589534132,37.93396918561996
502,South Beach,1730.21802,96471,20762.61624,21.522132288459744,0.2163885810570238,24.488172938590928,45.69468691215677
503,Tottenville,1695.36721,112515,20344.40652,18.08150603919477,0.15324976274013802,14.454197788303683,47.674622415246
312,Borough Park,1605.48379,67187,19265.80548,28.67490062065578,3.3961355787524456,1.4228656266889488,42.10577516619183
314,Flatbush/Midwood,1593.90102,79319,19126.81224,24.113783885323816,3.0909675300226604,2.3704806820294655,47.38906875818022
103,Lower East Side,1210.99118,54482,14531.89416,26.67283535846702,4.7782139904589735,10.47550847511486,32.47999496728737
301,Williamsburg/Greenpoint,2333,111492,27996,25.11032181681197,2.748766294665805,4.152068709109997,37.496166420350214
414,The Rockaways,1198.86483,52797,14386.37796,27.248476163418378,0.4755145818369543,16.748509049667287,49.561532728309004
408,Fresh Meadows/Briarwood,1747.99553,78065,20975.94636,26.869847383590596,0.5396081365285549,10.755563700452745,47.49073263448911
412,Jamaica/St. Albans,1486.41021,75235,17836.92252,23.708277424071245,1.1334202724577591,4.464689261817096,50.82366328821994
204,Concourse/Highbridge,1108.98683,37937,13307.84196,35.078793684266024,4.592759019318794,13.388923817343452,46.84583023082651
206,East Tremont,997,30846,11964,38.786228360241196,4.4533699240682685,4.842767535731662,48.95189698492462
207,Bedford Park,1283.68334,42387,15404.20008,36.341803100007084,3.939370756315241,10.009898883934476,50.127471363305304
310,Bay Ridge,1677.60016,88566,20131.20192,22.730169500711334,1.8411253788097401,15.125107089651472,47.030729070489684
101,Battery Park/Tribeca,3498,198945,41976,21.099298801176207,1.5350428546544717,6.552156764792852,29.3361786099447
102,Greenwich Village,3498,198945,41976,21.099298801176207,3.94973844432888,2.622507446191671,28.10479384816754
401,Astoria,1980.96797,84590,23771.61564,28.102158222012058,1.4815384598283046,3.2322275315624274,43.02409238701733
402,Sunnyside/Woodside,1843.51385,93817,22122.1662,23.580125350416235,1.3499026496828506,1.1461015140448556,40.24288433398246
108,Upper East Side,3048.41124,159241,36580.93488,22.97205800013816,2.7166557060841887,3.207392695184181,33.21502845395227
211,Pelham Parkway,1364.39514,58881,16372.74168,27.806493911448516,1.704637544022394,4.6938970207037505,48.08753833075265
209,Unionport/Soundview,1329.17003,45603,15950.04036,34.975857640944675,1.9075269419741196,11.888693703530063,49.81110701409374
307,Sunset Park,1799.57055,87149,21594.8466,24.779224775958415,2.6314174108356814,1.8763728736088878,45.91164037140484
112,Washington Heights,1410.72282,61527,16928.67384,27.51421951338437,3.1681364543008255,30.70629103782842,44.456161081438765
208,Riverdale,1549.11678,75218,18589.40136,24.71403302401021,1.064336156258782,7.836212046190197,49.72080799304952
405,Ridgewood/Glendale,1809.66534,83966,21715.98408,25.86283028845009,1.2405166165162147,4.519860518428335,47.4548361196341
306,Park Slope,2504.67705,159851,30056.1246,18.80258778487466,1.9063945400918525,4.105954003658246,40.04270716036299
311,Bensonhurst,1574.71598,68996,18896.59176,27.387952576960984,3.3815016277977628,2.5951985334179115,48.64007319085832
315,Sheepshead Bay,1708.30409,68903,20499.64908,29.751460865274375,1.959757800837662,4.072681519467728,47.33121179431859
406,Rego Park/Forest Hills,1871.32358,91722,22455.88296,24.482548309020736,1.1486869335888428,2.1549005123004914,49.90731001840652
212,Williamsbridge,1357.82293,67973,16293.87516,23.97109905403616,1.3685698876174517,5.081530917050835,48.15038839919064
308,Crown Heights North,1888.47555,91506,22661.7066,24.76526850698315,2.8722694014924346,5.412569048501688,45.81493163683992
309,Crown Heights South,1481.554,67767,17778.648,26.234963920492277,2.868766535223063,2.3106963977541803,47.527280626760664
210,Throgs Neck,1363.44221,71021,16361.30652,23.037279846805873,0.6761265376460239,15.166565921145668,48.80528328566378
111,East Harlem,1137.66562,45233,13651.98744,30.181476886344043,3.143852541902642,26.066324028985267,37.79412625622012
201,Mott Haven,959,33940,11508,33.906894519740725,3.576170593805836,4.814450026430406,45.05247206728029
304,Bushwick,1906,78456,22872,29.152646069134292,3.95329560829446,2.1770201160271565,45.693617283950616
316,Brownsville,1004.40517,41876,12052.86204,28.7822667876588,3.3609764795767343,4.071984120997907,49.48746777305401